mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
11153,0.96,-24.15,-15.30,0.00,0,0,0,0,-346.67,-324.00
11203,1.17,-23.40,-14.85,0.00,0,0,0,0,-346.67,-324.00
11253,1.97,-24.30,-14.40,0.00,0,0,0,0,-346.67,-324.00
11303,2.79,-24.00,-14.70,0.00,0,0,0,0,-346.67,-324.00
11353,-1.06,-23.25,-15.90,0.00,0,0,0,0,-346.67,-324.00
11403,3.72,-23.10,-14.25,0.00,0,0,0,0,-346.67,-324.00
11453,-3.57,-22.50,-14.40,0.00,0,0,0,0,-346.67,-318.00
11503,-0.75,-23.10,-14.85,0.00,0,0,0,0,-346.67,-324.00
11553,-0.63,-23.10,-14.85,0.00,0,0,0,0,-346.67,-318.00
11603,1.66,-22.95,-15.15,0.00,0,0,0,0,-346.67,-324.00
11653,4.04,-22.80,-14.55,0.00,0,0,0,0,-346.67,-324.00
11703,-0.27,-24.00,-16.20,0.00,0,0,0,0,-346.67,-324.00
11753,3.47,-23.10,-14.25,0.00,0,0,0,0,-346.67,-324.00
11803,1.27,-22.95,-13.65,0.00,0,0,0,0,-346.67,-324.00
11853,1.91,-22.80,-14.55,0.00,0,0,0,0,-346.67,-324.00
11903,-2.45,-23.10,-15.30,0.00,0,0,0,0,-346.67,-318.00
11953,0.52,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
12003,0.60,-23.25,-14.70,0.00,0,0,0,0,-346.67,-324.00
12053,-1.38,-22.20,-13.65,0.00,0,0,0,0,-346.67,-318.00
12103,-0.29,-22.20,-14.40,0.00,0,0,0,0,-346.67,-324.00
12153,2.60,-23.10,-13.80,0.00,0,0,0,0,-346.67,-324.00
12203,2.98,-24.30,-14.70,0.00,0,0,0,0,-346.67,-318.00
12253,-0.56,-23.25,-13.20,0.00,0,0,0,0,-346.67,-324.00
12303,-0.37,-22.95,-13.65,0.00,0,0,0,0,-346.67,-324.00
12353,1.47,-22.80,-14.25,0.00,0,0,0,0,-346.67,-324.00
12403,1.60,-22.95,-15.45,0.00,0,0,0,0,-346.67,-324.00
12453,1.12,-23.10,-14.55,0.00,0,0,0,0,-346.67,-324.00
12503,-0.31,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
12553,4.69,-22.50,-13.95,0.00,0,0,0,0,-346.67,-324.00
12603,2.08,-22.95,-13.95,0.00,0,0,0,0,-346.67,-324.00
12653,4.65,-23.55,-14.40,0.00,0,0,0,0,-346.67,-324.00
12703,5.05,-23.55,-14.70,0.00,0,0,0,0,-346.67,-324.00
12753,2.73,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
12803,2.40,-23.25,-14.70,0.00,0,0,0,0,-346.67,-324.00
12853,2.62,-23.10,-15.30,0.00,0,0,0,0,-346.67,-324.00
12903,4.28,-23.85,-13.50,0.00,0,0,0,0,-346.67,-324.00
12953,3.78,-24.00,-14.70,0.00,0,0,0,0,-346.67,-324.00
13003,-1.36,-22.80,-15.30,0.00,0,0,0,0,-346.67,-318.00
13053,-0.98,-24.00,-13.95,0.00,0,0,0,0,-346.67,-324.00
13103,1.21,-24.30,-14.70,0.00,0,0,0,0,-346.67,-324.00
13153,-1.03,-23.25,-15.45,0.00,0,0,0,0,-346.67,-318.00
13203,1.27,-22.50,-15.45,0.00,0,0,0,0,-346.67,-318.00
13253,0.45,-24.00,-14.40,0.00,0,0,0,0,-346.67,-324.00
13303,0.85,-23.85,-13.80,0.00,0,0,0,0,-346.67,-318.00
13353,-0.56,-24.45,-13.80,0.00,0,0,0,0,-346.67,-324.00
13403,2.39,-23.40,-15.30,0.00,0,0,0,0,-346.67,-324.00
13453,2.02,-24.00,-15.45,0.00,0,0,0,0,-346.67,-324.00
13503,1.14,-21.90,-15.90,0.00,0,0,0,0,-346.67,-324.00
13553,0.38,-23.25,-14.40,0.00,0,0,0,0,-346.67,-324.00
13603,0.60,-22.05,-14.85,0.00,0,0,0,0,-346.67,-324.00
13653,1.57,-23.40,-14.85,0.00,0,0,0,0,-346.67,-318.00
13703,1.19,-21.90,-15.15,0.00,0,0,0,0,-346.67,-318.00
13753,0.46,-23.40,-13.50,0.00,0,0,0,0,-346.67,-318.00
